,제목,가격,강사,URL,카테고리,리뷰
18,ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,"₩198,000",보안프로젝트,https://edu.goorm.io/lecture/26302/esxi-가상-인프라-구축과-보안-솔루션을-활용한-이상징후-탐지-모니터링,프로그래밍 - 보안,[]
19,누구나 블로그 개발 할 수 있다! React 기반 Gatsby로 기술 블로그 개발하기,무료,주현도,https://edu.goorm.io/lecture/25881/누구나-블로그-개발-할-수-있다-react-기반-gatsby로-기술-블로그-개발하기,웹 프로그래밍 - 프로그래밍,['좋아요\n']
20,실전! 웹사이트 제작 Step by Step - 호텔 라한 Application Course,"₩27,500",J.young,https://edu.goorm.io/lecture/26324/실전-웹사이트-제작-step-by-step-호텔-라한-application-course,웹 프로그래밍 - 프로그래밍,[]
21,딥러닝 네트워크의 연산,"₩39,000",Shin's Lab,https://edu.goorm.io/lecture/26039/딥러닝-네트워크의-연산,프로그래밍 - 인공지능,[]
22,데이터 시각화를 위한 파이썬,"₩39,000",Shin's Lab,https://edu.goorm.io/lecture/24603/데이터-시각화를-위한-파이썬,프로그래밍 - 데이터 추출/분석,[]
23,딥러닝을 위한 파이썬 레벨2,"₩39,000",Shin's Lab,https://edu.goorm.io/lecture/26038/딥러닝을-위한-파이썬-레벨2,프로그래밍 - 인공지능,[]
24,딥러닝을 위한 파이썬 레벨1,"₩35,100",Shin's Lab,https://edu.goorm.io/lecture/26037/딥러닝을-위한-파이썬-레벨1,프로그래밍 - 인공지능,[]
25,모의해킹 취업 준비하는데 알아두면 좋은 것,무료,보안프로젝트,https://edu.goorm.io/lecture/25879/모의해킹-취업-준비하는데-알아두면-좋은-것,프로그래밍 - 보안,[]
26,파이썬 개발자를 위한 go언어 기초,무료,행보칸코딩,https://edu.goorm.io/lecture/25552/파이썬-개발자를-위한-go언어-기초,프로그래밍 - 프로그래밍 기초,['go 언어는 처음 접해보는데 익숙한 파이썬과 비교해주시니 더욱 쉽게 이해할 수 있을 것 같아요!']
27,[하루 10분|Web Project] HTML/JS/CSS로 나만의 MBTI 사이트 만들기,무료,판다코딩,https://edu.goorm.io/lecture/25652/하루-10분-web-project-html-js-css로-나만의-mbti-사이트-만들기,웹 프로그래밍 - 프로그래밍,['굿']
28,React & TypeScript & GraphQL 로 버그없이 빠르게 개발하기!,"₩25,000",Alucard,https://edu.goorm.io/lecture/25571/react-typescript-graphql-로-버그없이-빠르게-개발하기,웹 프로그래밍 - 프로그래밍,[]
29,파이썬으로 구현하는 CF 알고리즘,"₩35,100",최욱진,https://edu.goorm.io/lecture/25544/파이썬으로-구현하는-cf-알고리즘,프로그래밍 - 인공지능,['수업 내용이 알차고 좋네요!!! 재밌게 잘 들었습니다~~ㅎㅎㅎ']
30,[하루 10분|C++] 누구나 쉽게 배우는 C++ 프로그래밍 입문,무료,판다코딩,https://edu.goorm.io/lecture/25274/하루-10분-c-누구나-쉽게-배우는-c-프로그래밍-입문,프로그래밍 - 프로그래밍 기초,"['c++ 전체적인 부분을 이해할 수 있게 된것같아요. 물론 자세히 파고들면 더 배울 부분이 많겠지만 미리 맛만 보기에는 좋네요!! 다만 7, 8강 넘어가면서부터는 난이도가 너무 올라가서 이해하기 살짝 힘들지만 많이 보다 보면 익숙해질거라고 생각하고 들었어요!']"
31,[2021 개정] IT 웹 개발자 취준 백서,"₩10,000",컴공돌이,https://edu.goorm.io/lecture/25207/2021-개정-it-웹-개발자-취준-백서,프로그래밍 - 프로그래밍 교양,['좋은 강의 감사합니다 윙']
32,"HAL, CubeMX, TrueSTUDIO를 이용한 STM32F4 따라하기 무료 강좌",무료,박원엽,https://edu.goorm.io/lecture/25454/hal-cubemx-truestudio를-이용한-stm32f4-따라하기-무료-강좌,프로그래밍 - IoT,[]
33,작정하고 django! 핀터레스트 만들기,"₩77,000",박형석,https://edu.goorm.io/lecture/25441/작정하고-django-핀터레스트-만들기,웹 프로그래밍 - 프로그래밍,['장고 강의 많이 없는데 간결하고 내용 너무 좋네요!']
34,CentOS 7 설치부터 웹서버 구축까지,무료,zzstudio-dev,https://edu.goorm.io/lecture/25119/centos-7-설치부터-웹서버-구축까지,웹 프로그래밍 - 프로그래밍,[' ㄴㅇㅇ']
35,문법책 졸업하자! 만들면서 복습하는 JavaScript,"₩49,000",강태공,https://edu.goorm.io/lecture/25046/문법책-졸업하자-만들면서-복습하는-javascript,웹 프로그래밍 - 프로그래밍,['너무 좋아요\n']
